Item Code,Item Name,Is Active,Principal,Brand,UOM,Purchase Weight,Transportation Cost
6301111001,Shaloot Noodle Coconut 55g (1x30pcs),Active,The Taste Origins,Shaloot,30,1.6,850
6301111002,Shaloot Noodle Tom Yum 55g (1x30pcs),Active,The Taste Origins,Shaloot,30,1.6,850
6301111003,Shaloot Noodle Chicken Sichat 52g (1x30pcs),Active,The Taste Origins,Shaloot,30,1.5,850
0201112028,Ensure Gold (Wheat) 380g (1x24Pcs),Active,Abbott,Ensure,24,11.92,850
0201112029,Ensure Gold StrengthPro (Vanilla) 380g (1x24Pcs),Active,Abbott,Ensure,24,11.92,850
0201112030,Ensure Gold StrengthPro (Vanilla) 800g (1x12pcs),Active,Abbott,Ensure,12,12.24,850
0203112012,Glucerna Powder (Vanilla) 400g (1x24Pcs),Active,Abbott,Glucerna,24,12.4,850
1221101010,Active GSM TP 2000,Active,MPT,Top-up,1,0.01,850
6201111001,Ayeyarwaddy Peanut Oil 0.25Viss (1x12),Active,Nutripure,Ayeyarwaddy,12,5,850
6201111002,Ayeyarwaddy Peanut Oil 0.5Viss (1x12),Active,Nutripure,Ayeyarwaddy,12,10.1,850
6201111003,Ayeyarwaddy Peanut Oil 1Viss (1x10),Active,Nutripure,Ayeyarwaddy,10,18,850
6201111004,Ayeyarwaddy Peanut Oil 2Viss (1x6),Active,Nutripure,Ayeyarwaddy,6,21.1,850
6201111005,Ayeyarwaddy Peanut Oil 3Viss (1x4),Active,Nutripure,Ayeyarwaddy,4,21,850
5600000002,Omi Korean Yam Chips Prawn Tomato 35g - MT Pack (1x12pack),Active,Omi Snack,Omi,12,4.5,1000
5600000003,Omi Korean Yam Chips Honey Butter Tomato 35g - MT Pack (1x12pack),Active,Omi Snack,Omi,12,4.5,1000
5601111002,Omi Korean Yam Chips Prawn Tomato 35g (1x10pcsx12pack),Active,Omi Snack,Omi,120,4.5,1000
5601111003,Omi Korean Yam Chips Honey Butter Tomato 35g (1x10pcsx12pack),Active,Omi Snack,Omi,120,4.5,1000
6101111001,Premium Bonito Dashi 150g (1x60Pcs),Active,Xiamen,Premium Dashi,60,13,850
6101111002,Premium Bonito Dashi 1Kg (1x12Pcs),Active,Xiamen,Premium Dashi,12,14,850
6101111003,Premium Kombu Dashi 150g (1x60Pcs),Active,Xiamen,Premium Dashi,60,13,850
6101111004,Premium Kombu Dashi 1Kg (1x12Pcs),Active,Xiamen,Premium Dashi,12,14,850
3401111010,Maymyo Fresh Classic 20's 500g (1x30Pack),Active,MayMyo Fresh Coffee,Maymyo Fresh,30,16.44,850
3401111006,Maymyo Fresh Brown 20's 500g (1x30Pack),Active,MayMyo Fresh Coffee,Maymyo Fresh,30,16.44,850
