Channel,Code,Name,Dept,Principal,Log-Pric
SD,66660320301,Transport Charges,Sales-SD,PG,P&G
SD,66660320301,Transport Charges,Sales-SD,Suntory,Suntory Beverage
SD,66660320301,Transport Charges,Sales-SD,Abbott,Abbott
SD,66660320301,Transport Charges,Sales-SD,Pyar Dee,Pyar Dee
SD,66660320301,Transport Charges,Sales-SD,NT,Nestrade
SD,66660320301,Transport Charges,Sales-SD,Orion,Orion
SD,66660320301,Transport Charges,Sales-SD,NS,Nong Shim
SD,66660320301,Transport Charges,Sales-SD,KKHmwe,Kyu Kyu Hmwe
SD,66660320301,Transport Charges,Sales-SD,Kelloggs,Kellogg's
SD,55550106302,Transport Charges-DiamondAndSweety,Sales-SD,Diamond,Diamond And Sweety
SD,66660320301,Transport Charges,Sales-SD,MDLZ,MDLZ
SD,55550106402,Transport Charges-OmiSnack ,Sales-SD,Omi,Omi Snack
SD,55550105802,Transport Charges,Sales-SD,DSY,Danuphyu Daw Saw Yee
SD,55550106502,Transport Charges-NewA1Family,Sales-SD,NewA1,NewA1
SD,55550105402,Transport Charges,Sales-SD,NaGaPyan,Nagar Pyan
SD,55550101802,Transport Charges,Sales-SD,Glamdust,Glamdust
SD,55550105602,Transport Charges,Sales-SD,KHM,Htoo Kaung Myat
SD,66660320301,Transport Charges,Sales-SD,Merisant,Merisant
SD,66660320301,Transport Charges,Sales-SD,TVO,TVO
SD,66660320301,Transport Charges,Sales-SD,DOLE,DOLE
SD,55550106002,Transport Charges-RoyalFantasticBlessing,Sales-SD,GULLON,Gullon
SD,66660320301,Transport Charges,Sales-SD,Uhrenhol,Uhrenholt
SD,66660320301,Transport Charges,Sales-SD,MPT,MPT
SD,66660320301,Transport Charges,Sales-SD,RoyalFB,Royal Fantastic
SD,66660320301,Transport Charges,Sales-SD,Calbee,Calbee
SD,66660320301,Transport Charges,Sales-SD,Bibica,
SD,66660320301,Transport Charges,Sales-SD,PMCare,Pharma Care
SD,66660320301,Transport Charges,Sales-SD,Clorox,Clorox
SD,66660320301,Transport Charges,Sales-SD,CSLation,Constellation
SD,66660320301,Transport Charges,Sales-SD,Pepsico,Pepsico
SD,66660320301,Transport Charges,Sales-SD,MayMyo,MayMyo Fresh Coffee
SD,66660320301,Transport Charges,Sales-SD,Trine,Trine
SD,66660320301,Transport Charges,Sales-SD,O’Ma Ma,O'Ma Ma
SD,55550106102,Transport Charges-GreatEverTopOne,Sales-SD,EverTop1,Great Ever Top One
SD,66660320301,Transport Charges,Sales-SD,HSOats,Healthy Spoon Oats
SD,55550106202,Transport Charges-AuroraPreservedFruits,Sales-SD,Aurora,Aurora
SD,55550106602,Transport Charges-WaiPhyoeFood,Sales-SD,WaiPhyoe,Wai Phyoe Food
SD,55550102602,Transport Charges-GBA CORP,Sales-SD,GBA CORP,GBA CORP
SD,55550106702,Transport Charges-MyatHtarni,Sales-SD,MyatHtarni,Myat HtarNi
SD,55550106802,Transport Charges-Nutripure,Sales-SD,Nutripure,Nutripure
SD,,Transport Charges-Nutripure,Sales-SD,Moshi,Honesty
SD,,Transport Charges-Nutripure,Sales-SD,CMP,CMP Fruits Garden
SD,,Transport Charges-Nutripure,Sales-SD,VTSpring,Vitaspring
SD,,Transport Charges-Nutripure,Sales-SD,YTTW,Ya Thar Taw Win
