PickID,PickDate,Remark,VANCode,TotalWeight,Status,BranchCode,DocEntry,DocNum,CardCode,CardName,ItemCode,Description,Quantity,UoM,ItemWeight,WhsCode,U_DocNum
00120251204022557170,12/5/2025,Oc/CC-SJ     INV--4,VO99006,56.7,C,001,5378646,8378645,C00102388,Ocean-YGN-SJ,0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),8,pcs,2.226667,DC-YGN01,00120251204090122180
00420251204040854267,12/5/2025,VO99098  ocean  ,VO99098,88.36,C,004,5378840,8378839,C00404138,Ocean - MLM,0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),3,pcs,0.835,WH-MLM01,00420251204095845833
00420251204041020073,12/5/2025,VO99023   inv:  19,VO99023,192.56,C,004,5378882,8378881,C00404977,K MART,0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),12,pcs,3.34,WH-MLM01,00420251204100852833
00220251204030328153,12/5/2025,OCDP,VO99036,67.31,C,002,5379261,8379260,C00202989,Ocean-MDY-DP,0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),6,pcs,1.67,WH-MDY01,00220251204113226870
00620251204025338400,12/5/2025,V54(Ocean),VO99054,41.3,C,006,5379287,8379286,C00602663,Ocean - TGI,0101121009,Ambi Pur Aerosol Blue Ocean 300ml (1x6Pcs),4,pcs,1.113333,WH-TGI02,00620251204113744577
00220251204030341233,12/5/2025,city 19,VO99036,45.66,C,002,5379281,8379280,C00207683,City Mart - 19th,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),4,pcs,1.113333,WH-MDY01,00220251204113534650
00220251204030328153,12/5/2025,OCDP,VO99036,67.31,C,002,5379261,8379260,C00202989,Ocean-MDY-DP,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),7,pcs,1.948333,WH-MDY01,00220251204113226870
00720251204041307187,12/5/2025,inv 5 OCPT,VO99052,199.6,C,007,5379211,8379210,C00701841,Ocean - PT,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),3,pcs,0.835,WH-PTN01,00720251204112350487
00420251204040854267,12/5/2025,VO99098  ocean  ,VO99098,88.36,C,004,5378840,8378839,C00404138,Ocean - MLM,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),3,pcs,0.835,WH-MLM01,00420251204095845833
00120251204022557170,12/5/2025,Oc/CC-SJ     INV--4,VO99006,56.7,C,001,5378646,8378645,C00102388,Ocean-YGN-SJ,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),5,pcs,1.391667,DC-YGN01,00120251204090122180
00120251204021534870,12/5/2025,Oc/CC-MGDTM     INV--6,VO99003,50.08,C,001,5378675,8378674,C00135956,Ocean-MGDTM,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),11,pcs,3.061667,DC-YGN01,00120251204091452767
00120251204021726967,12/5/2025,Oc-NP     INV--5,VO99010,18.19,C,001,5378695,8378694,C00101140,Ocean-YGN-NP,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),18,pcs,5.01,DC-YGN01,00120251204092037193
00120251204022108840,12/5/2025,Oc-PL     INV--5,VO99008,94.68,C,001,5378955,8378954,C00138678,Ocean-PL,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),29,pcs,8.071667,DC-YGN01,00120251204103036987
00120251204020957470,12/5/2025,Oc/CC-HTY     INV--5,VO99010,154.5,C,001,5379054,8379053,C00126567,Ocean-YGN-HTY,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),14,pcs,3.896667,DC-YGN01,00120251204105049863
00120251204021152623,12/5/2025,CM-Baho     INV--5,VO99001,27.65,C,001,5379143,8379142,C00140629,City Mart - Baho,0101121012,Ambi Pur Aerosol Lavender Breeze 300ml (1x6Pcs),3,pcs,0.835,DC-YGN01,00120251204110553893
00420251204040854267,12/5/2025,VO99098  ocean  ,VO99098,88.36,C,004,5378840,8378839,C00404138,Ocean - MLM,0101122004,Ambi Pur GEL Fresh Relaxing Lavender 180g (1x12Pcs),17,pcs,4.193333,WH-MLM01,00420251204095845833
